company,symbol,weight,price,%_change
First Republic Bank,FRC,0.065708,97.57,-1.10%
Citizens Financial Group Inc.,CFG,0.065141,35.38,-0.63%
Regions Financial Corporation,RF,0.064955,15.96,-0.44%
Kellogg Company,K,0.064644,64.1,(-0.17%)
Hess Corporation,HES,0.064605,60.13,(-2.51%)
Lennar Corporation Class A,LEN,0.064499,55,(-1.03%)
Maxim Integrated Products Inc.,MXIM,0.06429,57.22,(-1.95%)
Evergy Inc.,EVRG,0.064144,66.56,(-1.11%)
Teleflex Incorporated,TFX,0.06348,335.62,(-1.29%)
Amcor PLC,AMCR,0.063088,9.73,-1.25%
Best Buy Co. Inc.,BBY,0.062773,68.27,-1.96%
Celanese Corporation,CE,0.062083,122.14,-0.45%
Nucor Corporation,NUE,0.060801,50.01,-1.36%
CenterPoint Energy Inc.,CNP,0.060739,30,(-0.40%)
Conagra Brands Inc.,CAG,0.060736,30.5,(-1.61%)
Huntington Bancshares Incorporated,HBAN,0.060569,14.35,-0.70%
Extra Space Storage Inc.,EXR,0.060525,116.69,(-1.09%)
Akamai Technologies Inc.,AKAM,0.059936,89.79,(-0.87%)
Mid-America Apartment Communities Inc.,MAA,0.059873,130.33,(-0.10%)
Diamondback Energy Inc.,FANG,0.059473,89.99,(-0.14%)
Cooper Companies Inc.,COO,0.059315,294.25,(-1.55%)
Principal Financial Group Inc.,PFG,0.059301,57.37,-1.15%
Broadridge Financial Solutions Inc.,BR,0.059297,123.88,(-2.19%)
Waters Corporation,WAT,0.058696,222.53,-2.44%
Dover Corporation,DOV,0.058477,100.13,-0.61%
MGM Resorts International,MGM,0.058416,27.27,(-1.48%)
CarMax Inc.,KMX,0.058061,87.48,-1.27%
Freeport-McMoRan Inc.,FCX,0.05749,9.67,(-1.33%)
Darden Restaurants Inc.,DRI,0.057432,116.36,(-0.07%)
UDR Inc.,UDR,0.057426,48.33,(-0.25%)
Xylem Inc.,XYL,0.057393,80.13,-1.01%
Take-Two Interactive Software Inc.,TTWO,0.057364,123.69,(-2.43%)
Genuine Parts Company,GPC,0.057313,98.93,-1.54%
Quest Diagnostics Incorporated,DGX,0.057244,105.49,(-0.91%)
Cardinal Health Inc.,CAH,0.056442,47.57,-0.57%
Ulta Beauty Inc,ULTA,0.05627,244.4,-3.42%
Skyworks Solutions Inc.,SWKS,0.056116,77.89,(-3.07%)
Concho Resources Inc.,CXO,0.05524,68.7,-0.51%
Symantec Corporation,SYMC,0.054635,23.5,(-1.01%)
Hasbro Inc.,HAS,0.054615,118.82,-1.21%
Kansas City Southern,KSU,0.054051,132.52,(-0.55%)
Atmos Energy Corporation,ATO,0.053958,114.05,(-0.52%)
Loews Corporation,L,0.053835,51.51,-0.70%
Arista Networks Inc.,ANET,0.053753,242.78,(-0.50%)
Hologic Inc.,HOLX,0.053681,49.61,0.00%
CBS Corporation Class B,CBS,0.053379,40.35,-0.12%
W.W. Grainger Inc.,GWW,0.053056,294.99,-0.47%
Cboe Global Markets Inc,CBOE,0.053045,115.44,(-1.97%)
Westinghouse Air Brake Technologies Corporation,WAB,0.053016,72,-0.10%
WellCare Health Plans Inc.,WCG,0.052769,259.29,(-0.03%)
Incyte Corporation,INCY,0.052732,72.82,(-1.27%)
Align Technology Inc.,ALGN,0.05256,175.6,(-1.89%)
International Flavors & Fragrances Inc.,IFF,0.051771,120.81,-0.84%
Gartner Inc.,IT,0.051729,142.1,(-1.24%)
NetApp Inc.,NTAP,0.051699,53.91,-0.41%
Alliant Energy Corp,LNT,0.051626,54.03,(-0.42%)
AmerisourceBergen Corporation,ABC,0.05144,80.94,(-1.29%)
Seagate Technology PLC,STX,0.051417,53.81,-0.27%
MarketAxess Holdings Inc.,MKTX,0.050617,324.71,(-2.20%)
Expeditors International of Washington Inc.,EXPD,0.050499,73.29,-0.59%
Host Hotels & Resorts Inc.,HST,0.050403,17.11,-2.46%
J.M. Smucker Company,SJM,0.050036,109.04,(-0.10%)
Jacobs Engineering Group Inc.,JEC,0.049889,90.69,(-0.32%)
IDEX Corporation,IEX,0.049576,164.54,-0.42%
NVR Inc.,NVR,0.049463,"3,626.69",-0.41%
Baker Hughes a GE Company Class A,BHGE,0.049441,24.04,-0.46%
Lincoln National Corporation,LNC,0.049409,60.91,-1.25%
Duke Realty Corporation,DRE,0.049363,34.04,(-0.18%)
Garmin Ltd.,GRMN,0.049332,84.81,-0.53%
Masco Corporation,MAS,0.0492,41.68,-0.53%
Universal Health Services Inc. Class B,UHS,0.049095,146.83,-0.18%
Citrix Systems Inc.,CTXS,0.048815,95.81,(-0.03%)
CenturyLink Inc.,CTL,0.048691,12.43,(-0.88%)
DENTSPLY SIRONA Inc.,XRAY,0.048435,52.88,(-0.94%)
Hormel Foods Corporation,HRL,0.047819,43.54,0.00%
Nasdaq Inc.,NDAQ,0.047772,100.25,(-1.54%)
Leidos Holdings Inc.,LDOS,0.04767,85.02,(-2.42%)
Textron Inc.,TXT,0.047546,49.2,(-2.34%)
Regency Centers Corporation,REG,0.046457,69.08,-0.33%
FMC Corporation,FMC,0.046437,86.13,(-1.03%)
Advance Auto Parts Inc.,AAP,0.046427,161.68,-0.81%
C.H. Robinson Worldwide Inc.,CHRW,0.046423,83.79,(-0.36%)
Brown-Forman Corporation Class B,BF.B,0.046188,62.67,(-0.05%)
Fortinet Inc.,FTNT,0.046049,75.96,(-3.68%)
NiSource Inc,NI,0.045809,30.03,(-1.73%)
Jack Henry & Associates Inc.,JKHY,0.04525,143.72,(-2.06%)
Norwegian Cruise Line Holdings Ltd.,NCLH,0.04479,51.02,(-0.47%)
Fox Corporation Class A,FOXA,0.044654,31.44,(-0.03%)
Pinnacle West Capital Corporation,PNW,0.044342,97.41,(-0.27%)
Noble Energy Inc.,NBL,0.044196,22.46,(-1.01%)
CF Industries Holdings Inc.,CF,0.043994,48.65,(-1.16%)
American Airlines Group Inc.,AAL,0.043442,27.01,(-0.66%)
Lamb Weston Holdings Inc.,LW,0.043441,73.36,(-0.31%)
Everest Re Group Ltd.,RE,0.043302,265.98,(-0.14%)
AES Corporation,AES,0.043284,16.31,-0.55%
Raymond James Financial Inc.,RJF,0.043235,83.87,(-0.94%)
Molson Coors Brewing Company Class B,TAP,0.043225,57.47,-0.67%
SVB Financial Group,SIVB,0.043107,206.15,-0.05%
Wynn Resorts Limited,WYNN,0.042982,108.3,(-1.86%)
Tractor Supply Company,TSCO,0.04294,89.01,-0.06%
Varian Medical Systems Inc.,VAR,0.042926,118.16,-1.23%
Arconic Inc.,ARNC,0.042446,26.11,(-0.72%)
E*TRADE Financial Corporation,ETFC,0.041595,43.76,-4.20%
TechnipFMC Plc,FTI,0.04125,24.18,(-0.37%)
Mylan N.V.,MYL,0.04107,19.29,(-2.38%)
Devon Energy Corporation,DVN,0.04097,24.25,(-0.66%)
Vornado Realty Trust,VNO,0.040825,64.06,-0.58%
Eastman Chemical Company,EMN,0.040611,73.29,-1.16%
United Rentals Inc.,URI,0.04054,124.79,(-2.18%)
Comerica Incorporated,CMA,0.040489,65.79,-1.25%
NRG Energy Inc.,NRG,0.040446,39.44,(-0.15%)
J.B. Hunt Transport Services Inc.,JBHT,0.039856,111.04,(-2.34%)
Packaging Corporation of America,PKG,0.03984,105.6,-1.01%
LKQ Corporation,LKQ,0.039765,31.33,(-0.32%)
Globe Life Inc.,GL,0.039617,96.2,-0.15%
Marathon Oil Corporation,MRO,0.039477,12.2,-2.18%
Tiffany & Co.,TIF,0.039418,91.88,-1.16%
Whirlpool Corporation,WHR,0.039266,156.7,-1.20%
